url,destLabel,destinationLabelId,MHID
/kookis-village-hotel-limni-keriou-zante-greece,Greece,14546,43547
/keri-village-hotel-limni-keriou-zante-greece,Greece,14546,43549
/porto-koukla-hotel-koukla-zante-greece,Greece,14546,43551
/novalis-hotel-dresden-germany,Germany,14913,43553
/koukla-mare-studios-hotel-koukla-zante-greece,Greece,14546,43554
/am-terrassenufer-hotel-dresden-germany,Germany,14913,43555
/azimut-dresden-ex-belmondo-hotel-dresden-germany,Germany,14913,43556
/palatia-caeli-hotel-kypseli-zante-greece,Greece,14546,43557
/ibis-dresden-bastei-hotel-dresden-germany,Germany,14913,43558
/christos-studios-hotel-laganas-zante-greece,Greece,14546,43559
/holiday-inn-dusseldorf-airport-ratingen-hotel-dusseldorf-germany,Germany,14913,43561
/dusseldorf-mitte-hotel-dusseldorf-germany,Germany,14913,43563
/myconian-imperial-resort-villas-hotel-elia-mykonos-greece,Greece,14546,43567
/royal-myconian-resort-villas-hotel-elia-mykonos-greece,Greece,14546,43570
/nh-dusseldorf-city-hotel-dusseldorf-germany,Germany,14913,43572
/ibis-dusseldorf-zentrum-hotel-dusseldorf-germany,Germany,14913,43579
/holiday-inn-neuss-dusseldorf-hotel-dusseldorf-germany,Germany,14913,43580
/ibis-dusseldorf-hauptbahnhof-hotel-dusseldorf-germany,Germany,14913,43581
/lindner-congress-hotel-frankfurt-germany,Germany,14913,43592
/intercity-airport-frankfurt-hotel-frankfurt-germany,Germany,14913,43594
/the-westin-grand-frankfurt-hotel-frankfurt-germany,Germany,14913,43596
/national-hotel-frankfurt-germany,Germany,14913,43598
/top-vivaldi-hotel-leipzig-germany,Germany,14913,43604
/angelo-hotel-munich-westpark-munich-germany,Germany,14913,43607
/hotel-augusten-munchen-munich-germany,Germany,14913,43608
/hotel-drei-lowen-munich-munich-germany,Germany,14913,43612
/pension-mina-hotel-mykonos-town-mykonos-greece,Greece,14546,43616
/hotel-nh-munchen-am-ring-munich-germany,Germany,14913,43618
/pension-vrissi-hotel-mykonos-town-mykonos-greece,Greece,14546,43619
/hotel-nh-munchen-neue-messe-munich-germany,Germany,14913,43621
