Mhid,TA,StarRating
1307,478553,5
1309,557491,4
1312,1371337,4
1313,615357,3
1314,1170083,2
1316,298887,4
1319,633121,4
1330,559595,5
1332,305541,3
1338,1941087,5
1339,1194795,5
1341,234558,5
1342,556843,2
1349,618813,3
1350,576419,3
1351,2277427,3
1358,573767,4
1359,1194922,3
1360,304471,5
1364,292533,3
1366,1128119,2
1367,272822,2
1370,1081289,4
1371,272967,3
1372,1535935,4
1376,616894,4
1377,0,5
1381,588329,3
1392,0,3
1400,1171057,2
1402,3804212,1
1403,289653,2
1404,287519,2
1410,85061,2
1416,507900,3
1417,1063209,3
1418,314706,3
1424,581661,3
1426,498753,4
1428,0,3
1430,197871,5
1436,316170,5
1437,315018,4
1438,1717875,3
1444,320768,5
1445,266611,4
1447,254482,4
1449,252891,4
1459,776405,4
1461,1737731,3
1464,1155325,3
1466,1090940,4
1470,953847,5
1473,610840,5
1476,593781,5
1480,232765,5
1483,1186586,4
1484,1176861,4
1485,581392,4
1487,581951,3
1488,305605,5
1490,1474518,4
1492,664401,3
1493,291325,3
1494,734570,3
1495,1100250,3
1496,316488,3
1497,1458544,3
1498,670390,1
1500,503140,2
1501,631849,2
1502,1742796,1
1503,0,4
1505,593783,5
1508,305715,3
1510,559518,4
1512,557090,5
1513,1049466,2
1514,573836,4
1515,502130,4
1516,603840,3
1518,277140,4
1521,500402,4
1523,674034,2
1525,608323,4
1526,581048,4
1529,557470,2
1530,530423,2
1531,507892,2
1532,500899,3
1534,576199,2
1537,0,3
1543,548362,5
1544,497851,3
1552,315298,3
1553,3169841,4
1554,315355,4
1555,614182,3
1565,571897,4
1566,502135,3
1569,599063,2
1570,287445,2
1572,502163,3
1574,508163,4
1576,498713,1
1579,573705,2
1582,232766,3
1588,1100981,3
1590,530826,4
1592,530793,2
1593,508191,1
1595,598413,2
1596,234398,4
1598,1165381,3
1599,643863,2
1601,630251,2
1603,573918,3
1604,502376,4
1606,0,3
1608,300857,5
1609,304723,3
1621,613194,3
1622,599139,3
1624,315349,3
1625,320500,3
1626,263754,4
1628,233436,4
1630,585074,5
1631,598367,5
1632,535622,4
1633,1145242,1
1637,573973,3
1639,579560,3
1641,573923,3
1642,290452,3
1643,496662,4
1644,628338,3
1645,573929,1
1647,264345,2
1648,606477,4
1649,500757,3
1653,581169,3
1655,313722,3
1656,313761,3
1658,292172,4
1659,315258,3
1665,291595,4
1666,289673,3
1667,260596,4
1669,287699,3
1670,581981,3
1671,1159393,4
1674,499766,3
1677,255204,3
1678,291933,4
1680,573671,3
1682,265405,4
1684,529394,4
1685,2699980,4
1686,237084,4
1687,231609,4
1689,569349,4
1690,502310,2
1691,1841802,3
1693,290371,3
1694,272927,4
1697,272919,5
1699,288052,4
1701,289525,3
1702,502296,3
1704,265400,4
1710,498776,3
1711,646978,2
1712,287057,3
1715,3226267,3
1716,228580,4
1718,609369,3
1719,499764,4
1720,310262,4
1724,674042,5
1725,784768,3
1729,557034,3
1731,550928,5
1732,1014643,3
1734,953298,5
1735,0,5
1738,304846,4
1741,1159818,4
1744,1131319,3
1745,507988,3
1749,785382,3
1751,298893,4
1753,575589,3
1754,508068,4
1755,508077,4
1756,508092,4
1761,639467,3
1763,315054,4
1766,454928,5
1769,315353,2
1777,1526075,2
1780,316260,3
1789,315268,2
1799,304634,5
1802,754127,4
1804,531559,2
1805,1141723,4
1806,8744921,3
1807,1227564,2
1809,675164,3
1811,502177,4
1812,620006,4
1813,669032,4
1814,629468,3
1815,291502,3
1816,6226997,2
1817,500716,4
1818,190688,4
1819,272736,4
1822,569794,4
1825,273040,2
1826,500314,2
1828,290945,3
1830,1143755,2
1833,1227542,2
1834,898171,2
1835,237055,4
1836,1494430,2
1837,776377,3
1838,608384,2
1841,1055069,2
1844,291032,4
1846,596558,2
1847,238803,4
1848,577937,2
1849,0,4
1850,638364,3
1853,1151536,3
1854,605975,3
1855,1161124,2
1856,1109754,5
1857,1105258,3
1859,1132415,5
1861,941424,5
1863,1082288,3
1865,575590,4
1867,1148977,5
1868,0,4
1869,505466,4
1873,581388,5
1877,278159,3
1882,2523162,3
1883,1161057,2
1886,304726,5
1887,662867,5
1890,618494,4
1894,505476,4
1895,0,4
1899,85147,3
1900,940461,5
1902,226712,3
1904,594724,4
1905,622510,2
1907,1631851,5
1908,497116,4
1909,1227310,3
1912,0,4
1915,298889,4
1917,575585,3
1920,661278,5
1921,1088675,5
1922,1159676,5
1925,637089,4
1927,285819,3
1929,1484760,3
1934,1416636,2
1936,579139,3
1937,291053,4
1938,290485,3
1939,227461,4
1940,500915,4
1941,291687,3
1942,1144127,2
1943,290679,2
1944,1210685,4
1946,80530,3
1954,82600,3
1955,82583,4
1959,217418,2
1961,113221,4
1966,114898,3
1968,600446,3
1972,80327,3
1976,225097,4
1978,224955,3
1981,85204,4
1984,1210885,2
1989,240164,3
1990,78652,4
1993,112303,3
1996,120415,3
1999,214205,3
2000,286547,4
2004,85031,4
2007,115186,3
2009,85029,4
2010,77232,3
2011,88228,3
2012,483299,4
2016,0,4
2028,85081,3
2032,1009892,3
2033,226492,3
2034,93614,5
2035,113311,5
2037,85281,3
2038,1160958,3
2048,84907,4
2050,120202,5
2053,144433,4
2056,84298,4
2059,88214,3
2062,1007400,3
2063,123999,3
2064,120305,3
2066,85277,2
2072,84063,3
2079,0,3
2083,120307,4
2084,120301,4
2085,209382,4
2086,189076,4
2089,291267,3
2090,217368,3
2091,93450,4
2099,81531,3
2100,226805,1
2101,566614,1
2105,80311,3
2109,0,4
2110,268216,3
2120,7266575,2
2123,114892,4
2127,224224,5
2136,270561,4
2138,250130,3
2141,84886,3
2150,217364,3
2156,126337,2
2177,120330,4
2188,1503508,3
2192,1786395,4
2193,0,3
2195,1806062,4
2200,76752,5
2204,1238692,3
2225,226144,5
2232,1717417,5
2255,594686,3
2258,209594,4
2259,1489438,5
2274,85039,3
2275,84590,2
2278,224510,4
2292,1389861,5
2293,1235582,4
2320,77700,4
2323,144437,4
2339,1197067,3
2354,0,3
2365,234836,4
2367,84794,2
2368,149799,4
2375,284349,3
2377,858020,4
2381,122014,4
2393,653536,3
2404,251859,3
2405,1164645,4
2407,663848,3
2408,292300,3
2409,566699,3
2411,291030,3
2413,292358,3
2415,478655,3
2417,276099,4
2421,292303,4
2422,270386,4
2423,730012,3
2426,292233,3
2429,576517,1
2430,556899,2
2432,264498,3
2437,316762,4
2439,302596,5
2442,543061,4
2443,288102,4
2444,581349,3
2447,307630,5
2448,6028523,3
2449,584030,3
2450,456140,5
2453,315307,2
2454,275905,3
2455,313782,4
2457,500657,4
2458,491492,3
2460,237099,2
2461,557230,4
2465,507944,3
2466,483398,2
2468,498293,3
2470,287668,4
2472,291023,4
2473,291838,4
2475,500271,3
2479,259482,4
2480,566688,3
2481,500859,2
2482,566698,2
2486,290271,4
2488,500404,2
2489,1134637,2
2490,237036,4
2493,567982,3
2494,507890,3
2498,1094745,1
2502,1145889,2
2505,1675256,2
2508,3628747,2
2509,1162182,3
2514,1222733,3
2515,569552,4
2517,1718706,3
2518,500969,3
2519,580840,2
2524,506656,4
2527,630597,4
2528,321009,3
2533,2699981,2
2535,1046998,3
2539,1866823,3
2540,3734993,2
2544,2649011,5
2545,1477650,3
2550,229398,5
2552,0,3
2555,599073,3
2556,1479204,2
2560,487385,3
2562,294427,2
2564,1754676,3
2565,531032,4
2569,653359,2
2571,1145092,4
2573,803579,2
2574,259451,3
2575,1484607,2
2580,287492,3
2581,632350,2
2586,237086,4
2587,1012967,2
2588,287501,3
2589,287494,2
2591,1941582,4
2593,1171897,2
2594,1234786,3
2596,237076,3
2602,1450586,3
2603,581677,3
2606,1545212,2
2616,628385,3
2617,3367389,3
2619,3502338,3
2621,0,4
2622,1115497,3
2628,584650,4
2631,1841041,3
2632,3399152,3
2633,1163254,3
2635,577979,4
2636,618658,3
2637,1141828,5
2638,290025,4
2642,290957,3
2646,1184073,2
2647,238656,3
2649,573175,3
2650,1540154,3
2660,299683,3
2661,634705,4
2664,301476,5
2670,583495,5
2679,231677,3
2680,530861,1
2682,613264,3
2690,1136116,2
2691,1226447,2
2695,1134071,2
2702,1161383,3
2705,1536925,4
2706,1784105,4
2714,1776548,5
2716,272960,3
2717,248862,3
2720,296456,4
2723,2139954,3
2726,149224,3
2728,651223,3
2730,599330,4
2731,487080,4
2732,9453711,3
2735,638647,2
2736,1128591,3
2737,1179931,4
2744,1012164,3
2745,483381,4
2749,1724242,4
2752,596341,4
2754,647047,3
2763,514483,5
2765,498497,4
2767,806951,4
2768,1835103,3
2770,1113529,5
2774,472396,5
2776,316765,4
2777,1082511,4
2780,649837,5
2781,1784721,5
2787,1633299,4
2790,604333,5
2793,648681,5
2794,309022,5
2795,500752,3
2797,315295,3
2811,0,5
2812,626995,5
2816,1368489,4
2817,951869,4
2818,638274,4
2820,1128197,5
2822,1133327,3
2826,545626,5
2829,952353,5
2830,1128542,3
2831,623182,4
2833,634931,5
2834,7798959,4
2835,951809,5
2837,314837,5
2838,0,5
2840,628886,5
2845,301275,4
2846,566505,3
2847,2628958,5
2853,1370474,5
2854,1487044,5
2856,1626742,5
2862,6420447,5
2869,0,3
2871,1487312,5
2872,1130858,3
2873,620713,4
2876,0,5
2878,0,3
2890,0,4
2893,208754,4
2894,78851,4
2896,235238,4
2899,77866,4
2903,76237,3
2906,76061,4
2909,0,4
2910,84757,3
2911,223285,4
2918,113859,3
2922,76103,4
2931,78694,4
2958,216021,5
2959,0,3
2966,150823,5
2969,0,3
2970,97839,4
2971,91656,3
2972,121329,3
2973,91828,4
2974,596543,5
2990,85685,4
2994,0,4
3001,79971,4
3014,151016,5
3030,85189,3
3032,87914,3
3039,85527,4
3047,1171099,4
3048,120273,3
3052,111908,4
3055,268126,3
3060,80747,4
3070,0,3
3090,508201,3
3091,288058,3
3092,567979,2
3093,566150,3
3099,574123,3
3100,573422,3
3101,565541,3
3103,262425,3
3106,237051,4
3107,287419,4
3108,530162,3
3110,611247,3
3112,500744,5
3113,599915,4
3114,272802,5
3115,508221,4
3129,304629,4
3130,566537,5
3131,1461968,3
3133,0,3
3134,273032,3
3137,573887,3
3140,506830,4
3141,500711,3
3142,315374,3
3143,234351,4
3145,292117,3
3147,1151387,3
3150,577903,3
3151,292114,4
3152,581334,2
3154,488622,4
3155,287396,3
3157,264574,4
3158,483040,4
3160,228861,5
3161,250624,5
3162,231570,4
3164,493964,4
3165,575583,4
3166,305453,3
3167,231231,4
3168,257598,4
3171,653580,4
3172,197221,3
3174,277276,2
3175,197180,4
3176,197852,4
3178,197218,3
3179,263752,3
3180,220182,3
3182,294353,2
3183,258373,3
3188,220181,3
3189,197230,2
3194,196990,4
3197,260592,4
3198,498196,3
3200,482212,5
3201,2543477,4
3202,573334,4
3205,238125,2
3208,264409,4
3212,230945,3
3215,284198,4
3216,243528,4
3217,264575,4
3219,272918,4
3222,292125,4
3225,631292,3
3227,500840,4
3229,228489,5
3230,237094,4
3231,264509,3
3233,0,5
3236,598483,4
3241,238902,4
3242,262109,3
3248,487092,3
3250,314696,4
3251,500119,3
3253,289583,1
3255,286925,2
3257,0,2
3260,291895,3
3261,3753125,2
3262,1063282,3
3268,578370,3
3271,241729,4
3272,291492,2
3273,316532,4
3277,1421792,2
3278,571932,3
3284,291060,3
3286,237062,4
3287,287968,4
3289,287995,5
3294,555858,2
3295,502210,2
3298,288104,3
3299,237035,3
3301,576647,3
Mhid,TA,StarRating
3304,565535,3
3305,498714,3
3308,248981,3
3309,288091,4
3310,500087,2
3311,272739,4
3312,289726,4
3314,272741,3
3319,1494345,1
3320,229685,2
3321,566694,3
3324,487118,5
3325,642605,5
3329,1464821,3
3336,1220086,4
3337,1084276,2
3338,1161123,3
3339,529066,3
3340,645924,3
3343,266118,4
3345,629077,3
3346,2409815,1
3347,758179,4
3348,1213089,4
3352,3400521,2
3353,10118880,3
3354,1201326,2
3355,642598,4
3357,1162748,2
3358,287462,4
3361,1151748,4
3366,1865888,2
3368,1095768,3
3369,622505,4
3370,7394548,3
3374,296937,5
3375,300941,4
3377,0,3
3378,1127809,3
3382,455670,4
3383,317375,3
3387,1488548,4
