3136	MJV
4624	HER
5609	ADB
7197	CHQ
7830	BCN
8990	BCN
10613	ALC
11304	NCE
14048	ORD
15722	CDG
22376	BCN
36201	BCN
36261	BCN
37649	BCN
40254	PRG
50259	BCN
50378	BCN
52572	PMI
52624	PMI
52922	BJV
52951	DLM
52954	DLM
53240	REU
54168	GRX
54842	MAD
54850	MAD
55132	MAD
58695	LCA
59216	DLM
59758	ZTH
60325	DLM
60715	FAO
60753	MLA
61128	REU
61512	GRO
65447	ALC
67412	RAK
67476	RAK
72833	DBV
72839	DBV
72841	DBV
72848	DBV
72868	DBV
72872	DBV
72886	DBV
72887	DBV
73869	NAP
75746	FCO
77177	CHQ
77185	CHQ
77220	ALC
77246	ALC
77291	AGP
77367	PMI
77372	PMI
77387	PMI
77432	MAH
77686	CFU
77772	RHO
77826	RHO
78315	BCN
78317	BCN
78341	BCN
78433	BCN
78456	BCN
78529	BCN
78592	BCN
78598	BCN
78600	BCN
78602	BCN
78617	BCN
78622	BCN
78623	BCN
78670	BCN
78722	BCN
78861	FAO
79963	RAK
80113	MLA
80115	MLA
80116	MLA
80118	MLA
80124	MLA
80125	MLA
80126	MLA
80141	MLA
80144	MLA
80146	MLA
80297	BCN
80301	BCN
80382	PRG
80460	PRG
80547	DUB
81335	IST
81459	VCE
81488	IST
81585	IST
81599	IST
81766	LIS
81844	MXP
81870	MAD
81916	MXP
81917	MXP
81945	MAD
82036	MXP
82039	MXP
82042	MXP
82044	MXP
82092	LIS
82134	LIS
84419	PMI
85421	FNC
88887	MJV
90891	MCO
91011	MCO
94499	BOJ
94581	FNC
95112	PSA
95114	PSA
95683	NAP
95684	NAP
95699	NAP
95701	NAP
95702	NAP
95881	BUD
96082	VCE
96150	VCE
97262	MCO
97549	MCO
97651	MCO
97655	MCO
97659	MCO
97689	MCO
97929	BCN
98105	BCN
99235	DBV
103178	VCE
103846	CDG
105131	OPO
105251	OPO
105821	EFL
105843	JMK
105935	BUD
105942	BUD
105949	BUD
106145	IST
107031	VIE
107032	VIE
107243	WAW
107251	WAW
107252	WAW
107253	WAW
107254	WAW
107255	WAW
107256	WAW
107257	WAW
107258	WAW
107259	WAW
107293	VLC
107829	VLC
107834	VLC
107835	VLC
107853	VLC
107860	VLC
107864	VLC
108149	EFL
108232	ALC
108347	CDG
108350	AYT
108445	MJT
108452	FCO
108519	FNC
108620	NAP
108700	NAP
108706	NAP
108770	NAP
108794	NAP
108802	NAP
108808	NAP
108842	FCO
109564	HER
109725	MBJ
109778	KRK
110039	CMB
110140	LIS
110202	BCN
110397	IST
110546	FAO
110743	OPO
111007	LIS
111013	LIS
111025	LIS
111026	FNC
111139	LIS
